City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,new norfolk,-42.7826,147.0587,58.5,62,8,0.58,AU,1675807164
84,esperance,-33.8667,121.9,68.79,67,100,11.21,AU,1675807456
85,seymchan,62.8833,152.4333,-27.02,98,100,2.57,RU,1675807456
86,luderitz,-26.6481,15.1594,66.99,80,3,19.13,NA,1675807456
87,berezyne,46.2294,29.2022,24.42,79,10,12.59,UA,1675807457
88,cuenca,-2.8833,-78.9833,69.93,43,75,13.8,EC,1675807458
89,pacifica,37.6138,-122.4869,62.4,61,75,8.99,US,1675807241
90,qaqortoq,60.7167,-46.0333,-13.22,69,0,7.38,GL,1675807458
91,itum-kale,42.7356,45.5758,25.16,92,99,1.07,RU,1675807459
92,ushuaia,-54.8,-68.3,55.06,54,40,11.5,AR,1675807373
93,bubaque,11.2833,-15.8333,75.29,69,39,17.09,GW,1675807460
94,marawi,7.9986,124.2928,62.6,92,92,1.32,PH,1675807461
95,tasiilaq,65.6145,-37.6368,1.56,36,3,32.91,GL,1675807428
96,brookings,44.3114,-96.7984,37.18,78,0,10.36,US,1675807462
97,eydhafushi,5.1033,73.0708,80.58,70,29,8.88,MV,1675807462
98,karlskoga,59.3267,14.5239,38.71,90,100,9.8,SE,1675807462
99,hobyo,5.3505,48.5268,75.74,79,11,13.11,SO,1675807463
100,aksaray,38.3726,34.0254,17.76,93,100,4.94,TR,1675807464
101,padang,-0.9492,100.3543,71.65,69,99,3.8,ID,1675807464
102,ambon,-3.6954,128.1814,78.94,89,40,2.3,ID,1675807445
103,sao joao da barra,-21.6403,-41.0511,78.89,89,100,3.4,BR,1675807465
104,curico,-34.9833,-71.2333,89.71,31,0,3.44,CL,1675807466
105,flinders,-34.5833,150.8552,71.19,92,99,3.0,AU,1675807467
106,ouargaye,11.5033,0.0572,84.25,16,66,7.92,BF,1675807467
107,neya,58.2972,43.8681,6.67,95,89,7.07,RU,1675807468
108,lavrentiya,65.5833,-171.0,-13.05,88,100,3.53,RU,1675807470
109,vilyuysk,63.7553,121.6247,-37.59,99,100,0.56,RU,1675807471
110,mitu,1.1983,-70.1733,79.59,81,81,2.39,CO,1675807471
111,sungaipenuh,-2.0833,101.3833,62.89,62,97,2.15,ID,1675807473
112,castro,-24.7911,-50.0119,67.15,86,11,6.33,BR,1675807364
113,vaini,-21.2,-175.2,82.56,89,75,10.36,TO,1675807474
114,airai,-8.9266,125.4092,61.45,93,95,1.5,TL,1675807475
115,yulara,-25.2406,130.9889,80.13,26,0,5.26,AU,1675807391
116,dikson,73.5069,80.5464,-12.26,92,100,20.45,RU,1675807425
117,kurilsk,45.2333,147.8833,21.67,66,98,6.76,RU,1675807477
118,utica,43.1009,-75.2327,41.63,62,96,7.78,US,1675807206
119,san vicente,-26.6167,-54.1333,79.9,37,16,1.07,AR,1675807478
120,teya,60.3778,92.6267,9.57,97,100,2.15,RU,1675807479
121,yellowknife,62.456,-114.3525,-1.68,78,75,9.22,CA,1675807425
122,itoman,26.1247,127.6694,66.22,88,20,6.91,JP,1675807373
123,ancud,-41.8697,-73.8203,63.55,79,7,9.26,CL,1675807481
124,bredasdorp,-34.5322,20.0403,67.35,74,93,9.46,ZA,1675807483
125,svetlaya,46.5389,138.3297,8.76,84,7,5.14,RU,1675807483
126,huarmey,-10.0681,-78.1522,76.35,73,15,9.15,PE,1675807484
127,shakhunya,57.6758,46.6114,5.4,97,99,7.38,RU,1675807484
128,monrovia,6.3005,-10.7969,76.77,89,51,6.35,LR,1675807357
129,matagami,49.7502,-77.6328,23.11,93,100,11.5,CA,1675807465
